block length,choice ratio,reward ratio
9.0,0.5555555555555556,
50.0,0.4,0.375
15.0,0.4666666666666667,1.0
25.0,0.32,0.3333333333333333
25.0,0.4,0.0
35.0,0.2857142857142857,0.18181818181818182
9.0,0.3333333333333333,
15.0,0.3333333333333333,0.1
20.0,0.3,0.8571428571428571
15.0,0.4,0.4166666666666667
20.0,0.35,0.8333333333333334
10.0,0.5,0.0
5.0,0.4,0.6666666666666666
40.0,0.275,0.05
25.0,0.16,0.8
9.0,0.1111111111111111,
50.0,0.36,0.2
15.0,0.26666666666666666,1.0
25.0,0.48,0.375
25.0,0.44,0.8333333333333334
35.0,0.5142857142857142,0.4
29.0,0.4827586206896552,1.0
5.0,1.0,1.0
15.0,0.4,0.5
10.0,0.4,0.25
10.0,0.4,0.6
10.0,0.5,0.25
25.0,0.48,0.4166666666666667
45.0,0.28888888888888886,0.0
5.0,0.0,0.0
5.0,0.0,0.0
9.0,0.6666666666666666,
75.0,0.49333333333333335,0.43636363636363634
75.0,0.7733333333333333,0.9714285714285714
54.0,0.2222222222222222,1.0
40.0,0.4,0.5384615384615384
25.0,0.48,0.5882352941176471
5.0,0.4,0.3333333333333333
35.0,0.7428571428571429,0.8076923076923077
9.0,0.3333333333333333,
50.0,0.46,0.7142857142857143
40.0,0.475,0.5555555555555556
25.0,0.48,0.5
20.0,0.4,0.5454545454545454
15.0,0.4666666666666667,0.45454545454545453
9.0,0.4444444444444444,
50.0,0.46,0.5833333333333334
40.0,0.35,0.23076923076923078
25.0,0.32,0.75
20.0,0.2,0.21428571428571427
15.0,0.4,0.4166666666666667
9.0,0.6666666666666666,
5.0,0.4,1.0
35.0,0.4,0.14285714285714285
10.0,0.5,0.7142857142857143
25.0,0.68,0.6666666666666666
25.0,0.6,0.5
15.0,0.6666666666666666,0.0
35.0,0.9714285714285714,0.9444444444444444
9.0,0.3333333333333333,
50.0,0.34,0.1111111111111111
20.0,0.55,0.8571428571428571
5.0,0.8,1.0
75.0,0.4533333333333333,0.35294117647058826
9.0,0.3333333333333333,
50.0,0.32,0.3
20.0,0.4,0.25
5.0,0.2,0.5
75.0,0.4266666666666667,0.7647058823529411
9.0,0.4444444444444444,
10.0,0.4,1.0
10.0,0.3,1.0
65.0,0.6461538461538462,0.5357142857142857
5.0,1.0,1.0
60.0,0.5333333333333333,0.28
9.0,0.4444444444444444,
5.0,0.6,1.0
35.0,0.7428571428571429,1.0
10.0,1.0,1.0
25.0,0.84,0.6666666666666666
25.0,0.96,0.875
15.0,0.9333333333333333,0.75
35.0,0.6285714285714286,0.2222222222222222
9.0,0.5555555555555556,
15.0,0.7333333333333333,0.8333333333333334
40.0,0.5,0.5333333333333333
30.0,0.4666666666666667,0.0
35.0,0.6285714285714286,0.9090909090909091
15.0,0.6,0.0
15.0,0.7333333333333333,1.0
9.0,0.3333333333333333,
5.0,0.4,0.6666666666666666
35.0,0.2571428571428571,0.14285714285714285
10.0,0.4,0.5714285714285714
25.0,0.72,0.42857142857142855
25.0,0.68,0.6363636363636364
15.0,0.4666666666666667,0.0
35.0,0.8,0.7857142857142857
9.0,0.4444444444444444,
30.0,0.7333333333333333,0.75
20.0,0.1,0.0
70.0,0.4714285714285714,0.7105263157894737
10.0,0.6,0.0
20.0,0.55,0.8888888888888888
19.0,0.3684210526315789,0.0
20.0,0.45,0.6923076923076923
50.0,0.18,0.04
35.0,0.7428571428571429,0.9615384615384616
5.0,0.8,1.0
10.0,0.1,0.5
20.0,0.4,0.16666666666666666
19.0,0.6842105263157895,1.0
20.0,1.0,1.0
50.0,0.98,0.95
35.0,0.6285714285714286,0.0
5.0,0.0,0.0
10.0,0.0,0.0
20.0,0.0,0.0
9.0,0.2222222222222222,
35.0,0.37142857142857144,0.17391304347826086
40.0,0.35,0.9166666666666666
5.0,0.6,0.5
15.0,0.4,0.6
15.0,0.3333333333333333,0.23076923076923078
10.0,0.5,0.8
30.0,0.5,0.6
9.0,0.3333333333333333,
65.0,0.49230769230769234,0.45454545454545453
85.0,0.6588235294117647,0.9666666666666667
9.0,0.7777777777777778,
65.0,0.36923076923076925,0.38636363636363635
85.0,0.47058823529411764,0.9583333333333334
9.0,0.6666666666666666,
95.0,0.5052631578947369,0.40350877192982454
55.0,0.4727272727272727,0.8333333333333334
29.0,0.3103448275862069,0.0
5.0,0.0,0.0
15.0,0.0,0.0
10.0,0.2,1.0
10.0,0.3,0.5
10.0,0.4,1.0
25.0,0.12,0.125
45.0,0.7555555555555555,1.0
5.0,1.0,1.0
5.0,1.0,1.0
9.0,0.6666666666666666,
15.0,0.6,0.3333333333333333
30.0,0.6666666666666666,1.0
85.0,0.10588235294117647,0.0
20.0,0.1,0.6666666666666666
9.0,0.1111111111111111,
15.0,0.13333333333333333,0.3333333333333333
30.0,0.4,1.0
85.0,0.3176470588235294,0.01694915254237288
20.0,0.25,0.8
9.0,0.4444444444444444,
15.0,0.3333333333333333,1.0
30.0,0.3,0.0
85.0,0.8470588235294118,0.9861111111111112
20.0,1.0,1.0
104.0,0.34615384615384615,0.0
5.0,0.2,0.5
25.0,0.44,0.3076923076923077
25.0,0.52,0.6923076923076923
9.0,0.4444444444444444,
100.0,0.42,0.5
15.0,0.4,0.0
25.0,0.48,0.5454545454545454
10.0,0.4,0.42857142857142855
9.0,0.3333333333333333,
100.0,0.37,0.3939393939393939
15.0,0.6,0.5
25.0,0.12,0.18181818181818182
10.0,0.4,0.5
9.0,0.3333333333333333,
15.0,0.2,0.2222222222222222
25.0,0.08,0.1
5.0,0.0,
30.0,0.3,0.3333333333333333
50.0,0.54,0.95
25.0,0.64,0.3333333333333333
9.0,0.5555555555555556,
15.0,0.6666666666666666,0.7
25.0,0.64,0.8
5.0,0.6,
30.0,0.4666666666666667,0.875
50.0,0.24,0.0
25.0,0.4,0.625
9.0,0.5555555555555556,
15.0,0.5333333333333333,0.5714285714285714
25.0,0.6,0.8
5.0,0.0,0.0
30.0,0.6666666666666666,0.75
50.0,0.22,0.047619047619047616
25.0,0.28,0.7142857142857143
9.0,0.3333333333333333,
15.0,0.3333333333333333,0.5
25.0,0.32,0.125
5.0,0.0,
30.0,0.3,0.2222222222222222
50.0,0.34,0.9090909090909091
25.0,0.28,0.0
9.0,0.3333333333333333,
5.0,0.0,0.0
145.0,0.034482758620689655,0.0070921985815602835
9.0,0.1111111111111111,
5.0,0.0,
145.0,0.034482758620689655,0.0070921985815602835
9.0,0.5555555555555556,
5.0,0.8,1.0
145.0,0.9448275862068966,0.9927536231884058
9.0,0.2222222222222222,
15.0,0.4666666666666667,0.8333333333333334
20.0,0.35,0.07142857142857142
15.0,0.2,0.2857142857142857
20.0,0.3,0.0
10.0,0.0,0.0
5.0,0.0,0.0
40.0,0.575,0.9444444444444444
25.0,0.6,0.2222222222222222
9.0,0.3333333333333333,
15.0,0.6666666666666666,1.0
20.0,0.25,0.0
15.0,0.5333333333333333,0.45454545454545453
20.0,0.45,0.125
10.0,0.3,1.0
5.0,0.8,0.5
40.0,0.525,0.9285714285714286
25.0,0.4,0.3
9.0,0.4444444444444444,
15.0,0.3333333333333333,0.5
20.0,0.25,0.0
15.0,0.3333333333333333,0.4
20.0,0.25,0.0
10.0,0.3,1.0
5.0,0.4,0.5
40.0,0.4,0.9090909090909091
25.0,0.4,0.1
9.0,0.3333333333333333,
15.0,0.4,0.25
20.0,0.55,0.9166666666666666
15.0,0.9333333333333333,0.875
20.0,1.0,1.0
10.0,0.8,0.0
5.0,1.0,1.0
40.0,0.35,0.047619047619047616
25.0,0.44,0.8571428571428571
9.0,0.5555555555555556,
75.0,0.7333333333333333,0.7307692307692307
75.0,0.30666666666666664,0.030303030303030304
9.0,0.4444444444444444,
75.0,0.4266666666666667,0.5094339622641509
75.0,0.25333333333333335,0.037037037037037035
9.0,0.6666666666666666,
75.0,0.4666666666666667,0.46938775510204084
75.0,0.6666666666666666,1.0
9.0,0.3333333333333333,
50.0,0.34,0.42857142857142855
40.0,0.25,0.2
25.0,0.48,0.16666666666666666
20.0,0.05,0.16666666666666666
15.0,0.2,0.2727272727272727
9.0,0.6666666666666666,
50.0,0.5,0.7777777777777778
40.0,0.675,0.6666666666666666
25.0,0.48,0.8
20.0,0.35,0.2222222222222222
15.0,0.13333333333333333,0.2222222222222222
54.0,0.7777777777777778,1.0
40.0,1.0,1.0
25.0,0.96,0.9375
5.0,1.0,1.0
35.0,1.0,1.0
9.0,0.4444444444444444,
50.0,0.38,0.36363636363636365
20.0,0.4,0.3
5.0,0.2,1.0
75.0,0.5333333333333333,0.625
9.0,0.6666666666666666,
10.0,0.6,0.6666666666666666
10.0,0.5,0.75
65.0,0.47692307692307695,0.47058823529411764
5.0,0.0,0.0
60.0,0.36666666666666664,0.35
9.0,0.6666666666666666,
50.0,0.52,0.625
20.0,0.6,0.6666666666666666
5.0,0.4,0.0
75.0,0.3466666666666667,0.2
9.0,0.4444444444444444,
15.0,0.0,0.0
40.0,0.175,0.4666666666666667
30.0,0.06666666666666667,0.0
35.0,0.2857142857142857,1.0
15.0,0.26666666666666666,0.1111111111111111
15.0,0.0,0.0
9.0,0.2222222222222222,
15.0,0.6,0.625
40.0,0.15,0.16666666666666666
30.0,0.3333333333333333,1.0
35.0,0.4857142857142857,0.14285714285714285
15.0,0.26666666666666666,0.75
15.0,0.3333333333333333,0.0
9.0,0.6666666666666666,
15.0,0.5333333333333333,0.625
40.0,0.425,0.4375
30.0,0.5666666666666667,0.9333333333333333
35.0,0.45714285714285713,0.14285714285714285
15.0,0.4666666666666667,1.0
15.0,0.4,0.1
9.0,0.3333333333333333,
30.0,0.4666666666666667,0.6470588235294118
20.0,0.45,0.09090909090909091
70.0,0.4714285714285714,0.7692307692307693
10.0,0.4,0.16666666666666666
20.0,0.55,0.6153846153846154
9.0,0.4444444444444444,
30.0,0.2,0.15
20.0,0.2,1.0
70.0,0.0,0.0
10.0,0.1,0.5
20.0,0.1,0.1
19.0,0.47368421052631576,0.0
20.0,0.75,0.9285714285714286
50.0,0.58,0.2
35.0,0.5714285714285714,1.0
5.0,1.0,1.0
10.0,0.9,0.8333333333333334
20.0,0.75,0.16666666666666666
9.0,0.4444444444444444,
35.0,0.5428571428571428,0.7727272727272727
40.0,0.625,0.08333333333333333
5.0,0.2,0.3333333333333333
15.0,0.3333333333333333,0.3333333333333333
15.0,0.4666666666666667,0.5454545454545454
10.0,0.3,0.125
30.0,0.5333333333333333,0.3333333333333333
9.0,0.3333333333333333,
35.0,0.2,0.07692307692307693
40.0,0.425,0.9230769230769231
5.0,0.8,1.0
15.0,0.6666666666666666,0.7777777777777778
15.0,0.6,0.2857142857142857
10.0,0.6,0.8571428571428571
30.0,0.5666666666666667,0.4444444444444444
9.0,0.5555555555555556,
65.0,0.46153846153846156,0.5555555555555556
85.0,0.11764705882352941,0.023809523809523808
9.0,0.2222222222222222,
65.0,0.5230769230769231,0.5238095238095238
85.0,0.5647058823529412,0.037037037037037035
9.0,0.7777777777777778,
95.0,0.37894736842105264,0.34615384615384615
55.0,0.5636363636363636,0.8333333333333334
29.0,0.5172413793103449,1.0
5.0,1.0,1.0
15.0,0.8,0.3333333333333333
10.0,0.4,
10.0,0.7,0.8333333333333334
10.0,0.8,0.0
25.0,0.16,0.25
45.0,0.022222222222222223,0.022222222222222223
5.0,0.0,0.0
5.0,0.0,0.0
9.0,0.3333333333333333,
15.0,0.8666666666666667,1.0
30.0,0.5,0.0
85.0,0.9529411764705882,1.0
20.0,1.0,1.0
29.0,0.4482758620689655,0.0
5.0,0.4,0.5
15.0,0.4666666666666667,0.5
10.0,0.5,1.0
10.0,0.3,0.5
10.0,0.6,1.0
25.0,0.48,0.3333333333333333
45.0,0.6,1.0
5.0,0.6,0.6666666666666666
5.0,0.6,1.0
29.0,0.2413793103448276,0.0
5.0,0.2,0.0
15.0,0.06666666666666667,0.14285714285714285
10.0,0.3,1.0
10.0,0.5,0.6666666666666666
10.0,0.4,0.6666666666666666
25.0,0.24,0.3
45.0,0.8,1.0
5.0,1.0,1.0
5.0,1.0,1.0
9.0,0.5555555555555556,
15.0,0.6,1.0
30.0,0.3,0.0
85.0,0.8,0.9855072463768116
20.0,0.65,0.14285714285714285
104.0,0.8846153846153846,1.0
5.0,1.0,
25.0,1.0,1.0
25.0,1.0,1.0
104.0,0.9230769230769231,1.0
5.0,1.0,
25.0,1.0,1.0
25.0,1.0,1.0
104.0,0.6538461538461539,1.0
5.0,0.8,1.0
25.0,0.8,0.8
25.0,0.8,0.6666666666666666
104.0,0.25,0.0
5.0,0.2,0.5
25.0,0.12,0.09090909090909091
25.0,0.32,0.5454545454545454
9.0,0.5555555555555556,
15.0,0.6,0.3333333333333333
25.0,0.36,0.1111111111111111
5.0,0.0,0.0
30.0,0.23333333333333334,0.13333333333333333
50.0,0.66,1.0
25.0,0.48,0.42857142857142855
9.0,0.2222222222222222,
15.0,0.4666666666666667,0.5
25.0,0.52,0.0
5.0,0.4,
30.0,0.4,0.09090909090909091
50.0,0.54,0.9545454545454546
25.0,0.68,0.7142857142857143
9.0,0.5555555555555556,
15.0,0.4,0.45454545454545453
25.0,0.52,0.8571428571428571
5.0,0.8,0.5
30.0,0.5666666666666667,0.7
50.0,0.28,0.058823529411764705
25.0,0.2,0.4
134.0,0.9104477611940298,1.0
25.0,1.0,1.0
134.0,0.8805970149253731,1.0
25.0,1.0,1.0
9.0,0.4444444444444444,
5.0,0.4,0.3333333333333333
145.0,0.13793103448275862,0.007936507936507936
9.0,0.5555555555555556,
50.0,0.5,0.5714285714285714
15.0,0.4666666666666667,0.2
25.0,0.52,0.5555555555555556
25.0,0.16,0.0
35.0,0.3142857142857143,0.45454545454545453
9.0,0.7777777777777778,
50.0,0.54,0.7777777777777778
15.0,0.5333333333333333,0.16666666666666666
25.0,0.48,0.8571428571428571
25.0,0.32,0.16666666666666666
35.0,0.2857142857142857,0.45
9.0,0.2222222222222222,
15.0,0.26666666666666666,0.1111111111111111
20.0,0.4,0.8888888888888888
15.0,0.2,0.2
20.0,0.3,1.0
10.0,0.3,0.125
5.0,0.4,0.6666666666666666
40.0,0.3,0.045454545454545456
25.0,0.4,0.75
29.0,0.20689655172413793,1.0
5.0,0.6,0.6666666666666666
15.0,0.5333333333333333,0.4
10.0,0.2,0.25
10.0,0.5,0.6
10.0,0.6,0.0
25.0,0.64,0.8888888888888888
45.0,0.13333333333333333,0.0
5.0,0.0,0.0
5.0,0.2,0.0
9.0,0.5555555555555556,
75.0,0.10666666666666667,0.1346153846153846
75.0,0.44,0.9523809523809523
9.0,0.4444444444444444,
35.0,0.4857142857142857,0.7
40.0,0.225,0.07142857142857142
5.0,0.6,0.6666666666666666
15.0,0.0,0.0
15.0,0.2,0.6
10.0,0.4,0.0
30.0,0.36666666666666664,0.6
54.0,0.3333333333333333,0.0
40.0,0.4,0.42105263157894735
25.0,0.52,0.4375
5.0,0.6,0.75
35.0,0.34285714285714286,0.34615384615384615
54.0,0.4444444444444444,0.0
40.0,0.525,0.5625
25.0,0.48,0.3333333333333333
5.0,0.6,0.5
35.0,0.4,0.24
19.0,0.631578947368421,1.0
20.0,0.8,0.5
50.0,0.8,0.8260869565217391
35.0,0.2571428571428571,0.0
5.0,0.0,0.0
10.0,0.5,0.25
20.0,0.6,0.8888888888888888
9.0,0.3333333333333333,
10.0,0.6,0.75
10.0,0.6,0.8
65.0,0.5230769230769231,0.5
5.0,0.4,0.6666666666666666
60.0,0.26666666666666666,0.17857142857142858
9.0,0.2222222222222222,
10.0,0.4,0.3333333333333333
10.0,0.5,0.0
65.0,0.6153846153846154,0.6153846153846154
5.0,0.6,0.0
60.0,0.4166666666666667,0.7083333333333334
9.0,0.5555555555555556,
10.0,0.2,0.5
10.0,0.2,0.0
65.0,0.6,0.6896551724137931
5.0,0.6,0.3333333333333333
60.0,0.6,0.8333333333333334
9.0,0.2222222222222222,
15.0,0.4,0.42857142857142855
40.0,0.4,0.4
30.0,0.43333333333333335,1.0
35.0,0.5142857142857142,0.125
15.0,0.4666666666666667,1.0
15.0,0.3333333333333333,0.09090909090909091
9.0,0.5555555555555556,
5.0,0.6,0.5
35.0,0.6571428571428571,0.9230769230769231
10.0,0.6,0.4
25.0,0.48,0.5
25.0,0.64,0.6153846153846154
15.0,0.5333333333333333,1.0
35.0,0.34285714285714286,0.0
9.0,0.7777777777777778,
5.0,0.0,0.0
35.0,0.4857142857142857,1.0
10.0,0.6,0.6666666666666666
25.0,0.48,0.42857142857142855
25.0,0.48,0.3333333333333333
15.0,0.6,0.875
35.0,0.4857142857142857,0.18181818181818182
134.0,0.3880597014925373,0.0
25.0,0.48,0.5714285714285714
19.0,0.6842105263157895,0.0
20.0,0.55,0.7142857142857143
50.0,0.44,0.2
35.0,0.8285714285714286,1.0
5.0,1.0,1.0
10.0,1.0,1.0
20.0,0.9,0.5
9.0,0.1111111111111111,
30.0,0.7,0.6
20.0,0.9,0.9473684210526315
70.0,0.4142857142857143,0.2826086956521739
10.0,0.4,0.8
20.0,0.4,0.14285714285714285
19.0,0.631578947368421,1.0
20.0,0.45,0.25
50.0,0.6,0.6842105263157895
35.0,0.4,0.0
5.0,0.4,0.5
10.0,0.5,
20.0,0.5,0.8571428571428571
9.0,0.4444444444444444,
35.0,0.2,0.08
40.0,0.675,0.9333333333333333
5.0,1.0,1.0
15.0,0.6666666666666666,0.6666666666666666
15.0,0.8666666666666667,0.6
10.0,0.5,0.8333333333333334
30.0,0.7333333333333333,0.625
9.0,0.4444444444444444,
65.0,0.4,0.3409090909090909
85.0,0.5294117647058824,0.9615384615384616
9.0,0.5555555555555556,
95.0,0.4,0.3064516129032258
55.0,0.4909090909090909,0.75
9.0,0.5555555555555556,
95.0,0.5368421052631579,0.5606060606060606
55.0,0.4909090909090909,0.35294117647058826
9.0,0.4444444444444444,
15.0,0.5333333333333333,0.5
30.0,0.4666666666666667,1.0
85.0,0.16470588235294117,0.0
20.0,0.1,0.6666666666666666
9.0,0.5555555555555556,
100.0,0.34,0.43243243243243246
15.0,0.6666666666666666,1.0
25.0,0.72,0.6153846153846154
10.0,0.7,0.8333333333333334
9.0,0.5555555555555556,
100.0,0.44,0.47058823529411764
15.0,0.3333333333333333,0.3333333333333333
25.0,0.56,0.5
10.0,0.4,0.5
9.0,0.2222222222222222,
15.0,0.06666666666666667,0.0
25.0,0.44,1.0
5.0,0.4,0.5
30.0,0.36666666666666664,0.6666666666666666
50.0,0.08,0.0
25.0,0.2,0.3333333333333333
9.0,0.3333333333333333,
15.0,0.8666666666666667,0.8
25.0,0.56,0.8
5.0,0.6,0.0
30.0,0.5333333333333333,1.0
50.0,0.24,0.047619047619047616
25.0,0.2,0.6666666666666666
134.0,0.6865671641791045,1.0
25.0,0.56,0.42857142857142855
9.0,0.3333333333333333,
5.0,0.2,0.0
145.0,0.7586206896551724,0.990990990990991
134.0,0.06716417910447761,0.0
25.0,0.16,0.3333333333333333
9.0,0.4444444444444444,
95.0,0.6210526315789474,0.6949152542372882
55.0,0.5636363636363636,0.2727272727272727
9.0,0.3333333333333333,
50.0,0.58,0.6666666666666666
15.0,0.26666666666666666,0.0
25.0,0.4,0.6
25.0,0.52,0.25
35.0,0.05714285714285714,0.09090909090909091
9.0,0.5555555555555556,
50.0,0.42,0.18181818181818182
15.0,0.5333333333333333,1.0
25.0,0.68,0.4444444444444444
25.0,0.32,0.5714285714285714
35.0,0.2571428571428571,0.21428571428571427
9.0,0.2222222222222222,
75.0,0.38666666666666666,0.46808510638297873
75.0,0.22666666666666666,0.023255813953488372
9.0,0.3333333333333333,
50.0,0.3,0.0
40.0,0.225,0.5
25.0,0.36,0.14285714285714285
20.0,0.15,0.2727272727272727
15.0,0.2,0.18181818181818182
54.0,0.46296296296296297,1.0
40.0,0.525,0.4117647058823529
25.0,0.52,0.5882352941176471
5.0,0.6,0.5
35.0,0.42857142857142855,0.6111111111111112
54.0,0.37037037037037035,0.0
40.0,0.45,0.4666666666666667
25.0,0.4,0.46153846153846156
5.0,0.4,0.4
35.0,0.4,0.25925925925925924
9.0,0.4444444444444444,
50.0,0.34,0.5
40.0,0.375,0.2727272727272727
25.0,0.6,0.8571428571428571
20.0,0.4,0.3333333333333333
15.0,0.26666666666666666,0.42857142857142855
9.0,0.3333333333333333,
10.0,0.5,0.75
10.0,0.1,0.0
65.0,0.5538461538461539,0.6521739130434783
5.0,0.6,0.0
60.0,0.5666666666666667,0.8
9.0,0.6666666666666666,
50.0,0.44,0.25
20.0,0.6,0.75
5.0,0.4,0.5
75.0,0.5466666666666666,0.375
9.0,0.4444444444444444,
50.0,0.58,0.6923076923076923
20.0,0.45,0.0
5.0,0.8,1.0
75.0,0.6933333333333334,0.8
9.0,0.5555555555555556,
5.0,0.8,1.0
35.0,0.5142857142857142,0.14285714285714285
10.0,0.6,0.75
25.0,0.6,0.2857142857142857
25.0,0.28,0.18181818181818182
15.0,0.2,0.3333333333333333
35.0,0.37142857142857144,0.7
9.0,0.3333333333333333,
15.0,0.5333333333333333,0.5
40.0,0.35,0.4666666666666667
30.0,0.06666666666666667,0.06666666666666667
35.0,0.2857142857142857,1.0
15.0,0.2,0.2
15.0,0.6,0.8888888888888888
9.0,0.3333333333333333,
30.0,0.3,0.3125
20.0,0.3,0.06666666666666667
70.0,0.5285714285714286,0.7045454545454546
10.0,0.6,0.25
20.0,0.4,0.42857142857142855
9.0,0.1111111111111111,
30.0,0.13333333333333333,0.1
20.0,0.0,0.0
70.0,0.0,0.0
10.0,0.0,0.0
20.0,0.0,0.0
9.0,0.2222222222222222,
35.0,0.5714285714285714,0.6521739130434783
40.0,0.225,0.058823529411764705
5.0,0.0,
15.0,0.26666666666666666,0.18181818181818182
15.0,0.2,0.5
10.0,0.6,0.2
30.0,0.3333333333333333,0.5555555555555556
9.0,0.1111111111111111,
65.0,0.09230769230769231,0.1875
85.0,0.011764705882352941,0.02
104.0,0.11538461538461539,0.0
5.0,0.0,
25.0,0.0,0.0
25.0,0.0,0.0
9.0,0.4444444444444444,
100.0,0.54,0.4523809523809524
15.0,0.4,0.0
25.0,0.44,0.4444444444444444
10.0,0.7,0.6
9.0,0.6666666666666666,
100.0,0.47,0.5666666666666667
15.0,0.6,0.8
25.0,0.44,0.5555555555555556
10.0,0.5,0.75
9.0,0.1111111111111111,
15.0,0.3333333333333333,0.5
25.0,0.28,0.1111111111111111
5.0,0.4,0.0
30.0,0.4,0.6666666666666666
50.0,0.62,1.0
25.0,0.52,0.5
9.0,0.4444444444444444,
15.0,0.0,0.0
25.0,0.12,0.1111111111111111
5.0,0.8,1.0
30.0,0.2,0.23076923076923078
50.0,0.48,1.0
25.0,0.72,0.0
9.0,0.1111111111111111,
15.0,0.4666666666666667,0.3333333333333333
25.0,0.28,0.8333333333333334
5.0,0.4,1.0
30.0,0.5333333333333333,0.625
50.0,0.14,0.0
25.0,0.16,0.4
134.0,0.07462686567164178,0.0
25.0,0.04,0.5
9.0,0.5555555555555556,
5.0,0.4,0.0
145.0,0.9724137931034482,0.9929577464788732
9.0,0.1111111111111111,
95.0,0.45263157894736844,0.6065573770491803
55.0,0.36363636363636365,0.07692307692307693
